"rules","support","confidence","coverage","lift","count"
"{STEEVE=0,FRANCOIS=0,RICK=0,SHELDA=0,WIN=1} => {YURIKO=1}",0.117647058823529,1,0.117647058823529,2.390625,18
"{STEEVE=0,FRANCOIS=0,ALONSO=0,RICK=0,SHELDA=0,WIN=1} => {YURIKO=1}",0.104575163398693,1,0.104575163398693,2.390625,16
"{JIMMY=1,YURIKO=1,WIN=1} => {SHELDA=0}",0.124183006535948,1,0.124183006535948,1.26446280991736,19
"{RICK=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.189542483660131,1,0.189542483660131,1.26446280991736,29
"{JIMMY=1,YURIKO=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.117647058823529,1,0.117647058823529,1.26446280991736,18
"{JIMMY=1,RICK=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.111111111111111,1,0.111111111111111,1.26446280991736,17
"{STEEVE=0,JIMMY=1,YURIKO=1,WIN=1} => {SHELDA=0}",0.117647058823529,1,0.117647058823529,1.26446280991736,18
"{ALONSO=0,JIMMY=1,YURIKO=1,WIN=1} => {SHELDA=0}",0.117647058823529,1,0.117647058823529,1.26446280991736,18
"{FRANCOIS=0,RICK=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.150326797385621,1,0.150326797385621,1.26446280991736,23
"{RICK=0,YURIKO=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.124183006535948,1,0.124183006535948,1.26446280991736,19
"{STEEVE=0,RICK=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.156862745098039,1,0.156862745098039,1.26446280991736,24
"{ALONSO=0,RICK=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.176470588235294,1,0.176470588235294,1.26446280991736,27
"{JIMMY=1,RICK=0,YURIKO=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.104575163398693,1,0.104575163398693,1.26446280991736,16
"{STEEVE=0,JIMMY=1,YURIKO=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.111111111111111,1,0.111111111111111,1.26446280991736,17
"{ALONSO=0,JIMMY=1,YURIKO=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.111111111111111,1,0.111111111111111,1.26446280991736,17
"{STEEVE=0,JIMMY=1,RICK=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.104575163398693,1,0.104575163398693,1.26446280991736,16
"{ALONSO=0,JIMMY=1,RICK=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.104575163398693,1,0.104575163398693,1.26446280991736,16
"{STEEVE=0,ALONSO=0,JIMMY=1,YURIKO=1,WIN=1} => {SHELDA=0}",0.111111111111111,1,0.111111111111111,1.26446280991736,17
"{STEEVE=0,FRANCOIS=0,RICK=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.117647058823529,1,0.117647058823529,1.26446280991736,18
"{FRANCOIS=0,ALONSO=0,RICK=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.137254901960784,1,0.137254901960784,1.26446280991736,21
"{STEEVE=0,RICK=0,YURIKO=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.104575163398693,1,0.104575163398693,1.26446280991736,16
"{ALONSO=0,RICK=0,YURIKO=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.117647058823529,1,0.117647058823529,1.26446280991736,18
"{STEEVE=0,ALONSO=0,RICK=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.143790849673203,1,0.143790849673203,1.26446280991736,22
"{STEEVE=0,ALONSO=0,JIMMY=1,YURIKO=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.104575163398693,1,0.104575163398693,1.26446280991736,16
"{STEEVE=0,FRANCOIS=0,ALONSO=0,RICK=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.104575163398693,1,0.104575163398693,1.26446280991736,16
"{STEEVE=1,WIN=1} => {ALONSO=0}",0.104575163398693,1,0.104575163398693,1.07746478873239,16
"{JIMMY=0,YURIKO=0,WIN=1} => {ALONSO=0}",0.104575163398693,1,0.104575163398693,1.07746478873239,16
"{JIMMY=0,BARBARA=0,WIN=1} => {ALONSO=0}",0.117647058823529,1,0.117647058823529,1.07746478873239,18
"{YURIKO=1,WIN=1} => {SHELDA=0}",0.241830065359477,0.973684210526316,0.248366013071895,1.23118747281427,37
"{ALONSO=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.228758169934641,0.972222222222222,0.235294117647059,1.22933884297521,35
"{JIMMY=0,WIN=1} => {ALONSO=0}",0.222222222222222,0.971428571428571,0.228758169934641,1.0466800804829,34
"{STEEVE=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.196078431372549,0.967741935483871,0.202614379084967,1.2236736870168,30
"{FRANCOIS=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.189542483660131,0.966666666666667,0.196078431372549,1.22231404958678,29
"{STEEVE=0,ALONSO=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.183006535947712,0.96551724137931,0.189542483660131,1.22086064405814,28
"{FRANCOIS=0,ALONSO=0,YURIKO=1,WIN=1} => {SHELDA=0}",0.176470588235294,0.964285714285714,0.183006535947712,1.21930342384888,27
"{YURIKO=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.169934640522876,0.962962962962963,0.176470588235294,1.21763085399449,26
"{YURIKO=1,BARBARA=0,WIN=1} => {ALONSO=0}",0.169934640522876,0.962962962962963,0.176470588235294,1.03755868544601,26
"{ALONSO=0,YURIKO=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.163398692810458,0.961538461538462,0.169934640522876,1.21582962492053,25
"{STEEVE=0,JIMMY=0,WIN=1} => {ALONSO=0}",0.163398692810458,0.961538461538462,0.169934640522876,1.03602383531961,25
"{YURIKO=1,BARBARA=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.163398692810458,0.961538461538462,0.169934640522876,1.03602383531961,25
"{JIMMY=1,RICK=0,WIN=1} => {BARBARA=0}",0.156862745098039,0.96,0.163398692810458,1.59652173913043,24
"{FRANCOIS=0,JIMMY=1,WIN=1} => {SHELDA=0}",0.156862745098039,0.96,0.163398692810458,1.21388429752066,24
"{JIMMY=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.156862745098039,0.96,0.163398692810458,1.0343661971831,24
"{RICK=1,WIN=1} => {ALONSO=0}",0.150326797385621,0.958333333333333,0.156862745098039,1.03257042253521,23
